Module Number,Image,Attribution/Reference/Copyright,Link to image,License / Copyright Status
Module 4,Fort Garry ,"Library and Archives Canada, Acc. No. 1933-255 Gift of Mrs. William MacDougall",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-11T01%3A23%3A49Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2833426&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 4,United States Declaration of Independence,(William Stone) by Library of Congress (uploaded by Aiden) Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:United_States_Declaration_of_Independence.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 4,Fenced,"Wednesday, April 1, 2009. THE CANADIAN PRESS/Nathan Denette",https://flic.kr/p/a7J8FM,https://creativecommons.org/licenses/by/2.0/
Module 4,"Sir James Douglas, Governor of Vancouver Island and the Crown colony of British Columbia",C-003316/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-11T02%3A24%3A38Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3215021&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 4,Plowing the sod at the O.A.C.,John Boyd / Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-11T02%3A52%3A24Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3643819&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 4,"A Red River Cart at Calgary, N.W.T.",1989-446-6/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-11T02%3A46%3A23Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2836475&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 4,Aboriginal women watching the Treaty Dance,Charles A. Keefer/ Library and Archives Canada/ PA-073757,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-13T18%3A23%3A22Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3191831&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 4,Coins,terimakasih0/Pixabay/ CC0,https://pixabay.com/en/coins-cash-money-currency-business-1270301/,https://creativecommons.org/publicdomain/zero/1.0/
Module 4,Mennonite settler returning to farm for dinner after discing,Dept. of Interior/ Library and Archives Canada/ PA-044418,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-13T18%3A28%3A15Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367928&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 4,Old Books,jarmoluk/Pixabay/ CC0,https://pixabay.com/photo-436498/, https://creativecommons.org/publicdomain/zero/1.0/
Module 4,Potlach,PA-74038/ Library and Archives Canada ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T21%3A22%3A41Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3572940&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 4,Salish Drummers,MartialArtsNomad.com/Flickr/ CC BY 2.0,https://flic.kr/p/9iiGr8,https://creativecommons.org/licenses/by/2.0/
,,,,
Module 5,Osnaburg Family CO 1069-279-19,The National Archives UK/Flickr/ Public Domain (no known copyright restrictions),https://flic.kr/p/cmV2Em,https://www.flickr.com/commons/usage/
Module 5,Five Inuit Children Seated Outside ,Dept. of National Defence/ Library and Archives Canada/PA-066340,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T22%3A53%3A49Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3586435&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng, Copyright: Government of Canada
Module 5,Aboriginal Literacy Camp,"Photo from North Caribou Lake, Pikangikum, Summer of Hope series/ Photosensitive/ Andrew Stawicki",https://www.photosensitive.com/project-gallery.php?id=14,Copyright: Photosensitive Andrew Stawicki
Module 5,Inuit Elder Susie at Labrador Night,VisitGrosMorne/Flickr/ CC BY 2.0 ,https://flic.kr/p/f5gx72,https://creativecommons.org/licenses/by/2.0/
Module 5,Summer of Hope ,Summer of Hope/Patti Gower/ Photosensitive,http://www.photosensitive.com/project-gallery-n.php?i=6&id=14&p=1,Copyright: Photosensitive Patti Gower
Module 5,Native people - Eskimo group,Geological Survey of Canada/ Library and Archives Canada/ PA-050820,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T23%3A03%3A07Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366909&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,"F/O Marshall, 413 Squadron. Native woman holding a baby.",Dept. of National Defence/ Library and Archives Canada/ PA-066344,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-28T17%3A21%3A08Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3586432&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Library and Archives Canada 
Module 5,Brenda Morency Painting 050102 ,University of Alberta/Brenda Morency ,No link to image,Copyright: Brenda Morency 
Module 5,"Old woman and child, Cambridge Bay",Lachlan Taylor Burwash/ Indian and Northern Affairs Departmental library albums/ Library and Archives Canada/ PA-099951,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-05T22%3A18%3A06Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3379916&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,Smudge Stick,DoD News/Flickr/ CC BY 2.0 ,https://flic.kr/p/qc5Mtp,https://creativecommons.org/licenses/by/2.0/
Module 5,Warm Horizon ,Ryan/Flickr/ CC BY 2.0,https://flic.kr/p/c2f1My,https://creativecommons.org/licenses/by/2.0/
Module 5,Children Walking in Road,Summer of Hope/Patti Gower/ Photosensitive ,http://www.photosensitive.com/project-gallery-n.php?i=7&id=14&p=1#,Copyright: Photosensitive 
Module 5,Brenda Morency Windigo Painting 050104,University of Alberta/Brenda Morency ,No link to image,Copyright: Brenda Morency 
Module 5,The Wild Wood ,Henry Hemming/Flickr/ CC BY 2.0 ,https://flic.kr/p/q55hFt,https://creativecommons.org/licenses/by/2.0/
Module 5,Scary Leaves,akira_kev/Flickr/ CC BY 2.0,https://flic.kr/p/EtXwE,https://creativecommons.org/licenses/by/2.0/
Module 5,"Interior of class room, students working at their desks, Brandon Indian Residential Schoo  ",National Film Board of Canada/ Photothèque collection/ Library and Archives Canada/ PA-048571,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-24T19%3A54%3A26Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3381313&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,Group of students posing in front of the Brandon Indian Residential School,National Film Board of Canada/ Photothèque collection/ Library and Archives Canada/ PA-048574,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-24T19%3A46%3A45Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3381315&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 5,Brenda Morency (Residential School Theme) 050202 ,University of Alberta/Brenda Morency ,No link to image,Copyright: Brenda Morency 
Module 5,A group of nuns with Aboriginal students,H.J. Woodside / Library and Archives Canada/PA-123707,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-24T19%3A59%3A52Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3193392&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 5,"Main Building of the Mohawk Institute farm in Brantford, [Ont.]",John Boyd/ Library and Archives Canada/1971-120 NPC,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-18T20%3A24%3A41Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3309653&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,Fort Qu'Appelle Indian Industrial School with tents,O.B. Buell/Indian Industrial Schools/ Library and Archives Canada/ PA-182246,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-04T22%3A16%3A02Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194883&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,Carlisle Indian Industrial School- group photo,David Ewens / Library and Archives Canada/ PA-182257,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-04T22%3A47%3A29Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3193081&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,A group of nuns with Aboriginal students,H.J. Woodside / Library and Archives Canada/ PA-123707,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-24T19%3A59%3A52Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3193392&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 5,The cricket team from Battleford Indian Industrial School,Indian Industrial Schools Album/ Library and Archives Canada/ PA-182265,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-04T23%3A00%3A01Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3354527&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,Girl's dormitory of the Anglican Indian Missionary School ,Bud Glunz National Film Board of Canada/Still Photography Division/ Library and Archives Canada/ 1971-271 NPC,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T19%3A36%3A12Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4295776&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,Northern British Columbia Indian Children,"Jack R. Wrathall, Library and Archives Canada/ PA-095752",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-05T21%3A35%3A09Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366586&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 5,"Group of women and children outside the school, Pangnirtung ",F.H. Stringer/ Richard Finnie and others album 8/ Library and Archives Canada/ e002342690,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T19%3A43%3A25Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3607326&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 5,Aboriginal children on the way to Hay River Indian Residential School,F. Clarke/ Canada. Dept. of Indian and Northern Affairs / Library and Archives Canada/ PA-179488,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T19%3A46%3A27Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3298827&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 5,"Nurse takes blood sample from boy at the Indian School, Port Alberni, B.C.", F. Royal/National Film Board of Canada/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T19%3A50%3A52Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3604277&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=en,Copyright: Expired 
Module 5,"REPORT BY DR. P.H. BRYCE ON HIS TOUR OF INSPECTION OF INDIAN SCHOOLS IN MANITOBA, SASKATCHEWAN AND ALBERTA (p. 39)",Library and Archives Canada/Department of Indian Affairs and Northern Development fonds/e007812575,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-05T23%3A06%3A56Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2059593&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  Link to license: https://drive.google.com/drive/folders/0B7aw4-g-HC66VGFQM3luRlV3TVE,© Government of Canada. Reproduced with the permission of Library and Archives Canada (2016)
Module 5,"Boys Dormitory, St. Joseph's Indian Industrial School",S.A. Smyth/ Canada. Dept. of Mines and Technical Surveys / Library and Archives Canada/ PA-023093,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A10%3A59Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3381192&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,Copyright: Expired
Module 5,Regina Indian Residental School,John Woodruff/ Canada. Dept. of Mines and Resources collection/ Library and Archives Canada/ PA-020921,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A12%3A33Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3316050&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,National Crime by Peter Henderson Bryce,Department of the Interior photographic records (North West Territories)/ Library and Archives Canada,https://archive.org/details/storyofnationalc00brycuoft,Copyright: Not in Copyright
Module 5,R.C. Indian Residential School Study Time,"Department of the Interior photographic records (North West Territories), Library and Archives Canada/ PA-042133",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-06T16%3A16%3A18Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3381256&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 5,"General view of barns, Indian Industrial School",Department of the Interior photographic records (North West Territories)/ Library and Archives Canada/ PA-041423,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-06T16%3A49%3A32Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3303937&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 5,Mi'kmaq girls in sewing class at Shubenacadie Indian Residential School,1976-281 NPC/ Library and Archives Canada/ PA-185530,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-24T19%3A30%3A11Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3193832&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,"The hockey team of the residential school of Maliotenam, Quebec",1976-281 NPC/ Library and Archives Canada/ PA-212964,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A19%3A24Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3601416&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,Copyright: Expired
Module 5,"Male students, St. Joseph's Indian Industrial School",Indian Industrial Schools Album/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A24%3A25Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3354520&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,Copyright: Expired
Module 5,Cree students at All Saints Indian Residential School,Bud Glunz/ National Film Board of Canada/Library and Archives Canada/ PA-134110,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A36%3A17Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3191693&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 5,Students in front of Washakada Indian Residential School,Boorne & May/ Library and Archives Canada/ PA-182261,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A33%3A33Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3354523&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,Indian woman and child,Dept. of Mines and Technical Surveys / Library and Archives Canada/PA-017973,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-06T16%3A46%3A40Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367475&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,"Photo from North Caribou Lake, Pikangikum",Summer of Hope/ Andrew Stawicki/ Photosensitive,http://www.photosensitive.com/project-gallery-n.php?i=2&id=14&p=1#,Copyright: Photosensitive Andrew Stawicki
Module 5,Cody is launched into the air by his friends on a hot summer day (Aboriginal Literacy Camp),Summer of Hope/Peter Bregg/ Photosensitive,http://www.photosensitive.com/project-gallery-n.php?i=13&id=14&p=1#,Copyright: Photosensitive Peter Bregg
Module 5,"Students, nuns and priests posing in front of St. Joseph's Indian Industrial School",Indian Industrial Schools Album/ Library and Archives Canada/PA-182268,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A43%3A39Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3354530&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,Copyright: Expired
Module 5,Group of Naskapi children in a classroom ,Library and Archives Canada/PA-212965,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A46%3A20Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3601417&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 5,Portage la Prairie Indian Residential School,"Dept. of Interior, Library and Archives Canada/ PA-047850",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A48%3A40Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3304351&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 5,Indian children who are boarders at the Roman Catholic School,D.L. McKeand/ Library and Archives Canada/PA-179655 ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-06T17%3A54%3A05Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3302575&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 5,Children posing in front of a school with two nuns,PA-212963/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T20%3A55%3A19Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3601415&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 5,Concertina Wire & Tower,Steve Snodgrass/Flickr/ CC BY 2.0 ,https://flic.kr/p/9ooiDt,https://creativecommons.org/licenses/by/2.0/
Module 5,Lockdown,Krystian Olszanski/Flickr/ CC BY 2.0 ,https://flic.kr/p/84NHir,https://creativecommons.org/licenses/by/2.0/
Module 5,Students attending the Metlakatla Indian Residential School,William James Topley/ Library and Archives Canada/ C-015037,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T21%3A01%3A42Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194929&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,Copyright: Expired
Module 5,Canadians For Reconciliation,Scazon/Flickr/ CC BY 2.0 ,https://flic.kr/p/5Dr5PZ,https://creativecommons.org/licenses/by/2.0/
,,,,
Module 6,"Indian woman and children at Ile-à-la-Crosse, Sask. ",Department of the Interior photographic records (Saskatchewan)/ Library and Archives Canada/ PA-044545,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T21%3A59%3A18Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3370377&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 6,4 Men in a Tent ,Indian and Northern Affairs. Departmental library albums/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-05T21%3A23%3A43Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=204952&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 6,"Arctic Red [River] Indian woman preparing caribou hide, [N.W.T.].","McKeand, D. L./Library Archives Canada/PA-102639",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T21%3A46%3A21Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366750&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 6,Man with Canoe ,J.L. grew/ Indian and Northern Affairs. Departmental library albums/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-05T21%3A23%3A43Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=204952&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired 
Module 6,Canada Prairie provinces map,QuartierLatin1968/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Canada_Prairie_provinces_map.png,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,"Métis camp with Red River carts at [Milk River Lake, Alberta]","Royal Engineers, Dawson album 2, or Boundary commission album/ Library and Archives Canada/C-081767",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-04T22%3A14%3A54Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3228120&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 6,"Buffalo Meat Drying, White Horse Plains, Red River","William Armstrong, William Armstrong fond/ Library and Archives Canada/ Acc. No. 1989-492-2",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-02T18%3A09%3A24Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2833395&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 6,Pemmican drying ,John Johnston/Flickr/ CC BY 2.0,https://flic.kr/p/2agXvb,https://creativecommons.org/licenses/by/2.0/
Module 6,Coat Buffalo ,Nez Perce National Historical Park NEPE 8894/ Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:NEPE_Coat--Buffalo.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 6,"""Manitobah"" Settler's House and Red River Cart","G.R. Hind, William George Richardson Hind collection/ Library and Archives Canada/ Acc. No. 1937-283-1",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T20%3A03%3A29Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2835753&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 6,Buffalo skulls,Detroit Public Library/ Digital Collections DPA4901/ Burton Historical collection,http://digitalcollections.detroitpubliclibrary.org/islandora/object/islandora%3A151477#,"Credit: Courtesy of Burton Historical Collection, Detroit Public Library. "
Module 6,Camp scene of Métis people with carts on the prairie,C-081787/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-11T22%3A03%3A36Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3248493&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 6,Metis woman cutting wood ,"Bud Glunz, National Film Board of Canada. Still Photography Division/ Library and Archives Canada",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T19%3A50%3A27Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4295778&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 6,A pair of beaded moosehide leather gauntlets,"1978.1.653.a, b/ Dawson City Museum, Yukon",http://www.yukonmuseums.ca/treasures/dcm/11.html##,Copyright: Benjamin Peddle/ Dawson City Museum 
Module 6,Selling Baskets,born1945/Flickr/ CC BY 2.0,https://flic.kr/p/6AFBAf,https://creativecommons.org/licenses/by/2.0/
Module 6,Tall cylindrical Indian baskets,"Charles C Pierce, University of Southern California. Libraries/ California Historical Society/ CC BY 3.0",http://digitallibrary.usc.edu/cdm/ref/collection/p15799coll65/id/17167#,https://creativecommons.org/licenses/by/3.0/
Module 6,Hooked Rug ,Internet Archive Book Images/ Flickr/ Public Domain,https://flic.kr/p/ous6n3,Copyright: Public Domain
Module 6,Photo of a group of Indian farm labourers from Batoche reserve near Wakaw with some non-Aboriginal Settlers,"Photograph PH-91-8 by [Unknown], courtesy of Saskatoon Public Library - Local History Room",http://scaa.sk.ca/ourlegacy/permalink/28433#,Copyright: Saskatoon Public Library - Local History Room
